set term gif size 8000, 8000 font "Times-Roman,90"
set output "chen_traj_img.gif"
set xlabel "x"
set ylabel "y"
set zlabel "z"
set xrange [-40:40]
set yrange [-40:40]
set zrange [0:60]
splot '-' with line
-10.53978504 -10.12133533 25.07574103
-10.5390976 -10.11877324 25.07721302
-10.53840714 -10.11620834 25.07868306
-10.53771369 -10.11364063 25.08015117
-10.53701722 -10.11107011 25.08161734
-10.53631775 -10.10849678 25.08308157
-10.53561527 -10.10592065 25.08454385
-10.53490979 -10.10334171 25.08600419
-10.5342013 -10.10075997 25.08746259
-10.53348982 -10.09817544 25.08891903
-10.53277533 -10.0955881 25.09037353
-10.53205784 -10.09299798 25.09182607
-10.53133735 -10.09040506 25.09327666
-10.53061386 -10.08780935 25.0947253
-10.52988737 -10.08521085 25.09617197
-10.52915788 -10.08260957 25.09761669
-10.5284254 -10.0800055 25.09905945
-10.52768992 -10.07739865 25.10050024
-10.52695144 -10.07478902 25.10193907
-10.52620997 -10.07217661 25.10337593
-10.52546551 -10.06956143 25.10481083
-10.52471805 -10.06694348 25.10624375
-10.5239676 -10.06432275 25.1076747
-10.52321416 -10.06169925 25.10910368
-10.52245773 -10.05907299 25.11053069
-10.52169831 -10.05644396 25.11195571
-10.5209359 -10.05381217 25.11337876
